CLASS NAME,MEMBER ID,CLASS DATE,INSTRUCTOR,ATTENDENCE ID
CROSSFIT,100793,2025-05-23 18:00:00,JACKED,1
CROSSFIT,990195,2025-05-23 18:00:00,JACKED,2
CROSSFIT,220707,2025-05-23 18:00:00,JACKED,3
CROSSFIT,222711,2025-05-23 18:00:00,JACKED,4
CROSSFIT,992497,2025-05-24 18:00:00,JACKED,55
CROSSFIT,770471,2025-05-25 18:00:00,JACKED,56
CROSSFIT,331677,2025-05-26 18:00:00,JACKED,57
CROSSFIT,777796,2025-05-27 18:00:00,JACKED,58
CROSSFIT,444499,2025-05-28 18:00:00,JACKED,59
ZUMBA,777796,2025-05-27 17:00:00,BONITA,5
ZUMBA,444499,2025-05-27 17:00:00,BONITA,6
ZUMBA,100989,2025-05-27 17:00:00,BONITA,7
ZUMBA,888890,2025-05-27 17:00:00,BONITA,8
ZUMBA,111594,2025-05-27 17:00:00,BONITA,9
ZUMBA,551866,2025-05-27 17:00:00,BONITA,10
YOGA,100793,2025-05-07 12:30:00,BUDDA,11
YOGA,990195,2025-05-07 12:30:00,BUDDA,12
YOGA,220707,2025-05-07 12:30:00,BUDDA,13
YOGA,222711,2025-05-07 12:30:00,BUDDA,14
YOGA,992497,2025-05-07 12:30:00,BUDDA,15
YOGA,770471,2025-05-07 12:30:00,BUDDA,16
OPEN GYM,111177,2025-05-25 15:00:00,APPA,17
OPEN GYM,101089,2025-05-25 15:00:00,APPA,18
OPEN GYM,221775,2025-05-25 15:00:00,APPA,19
OPEN GYM,111475,2025-05-25 15:00:00,APPA,20
OPEN GYM,112590,2025-05-25 15:00:00,APPA,21
OPEN GYM,772187,2025-05-25 15:00:00,APPA,22
OPEN GYM,770482,2025-05-25 15:00:00,APPA,23
OPEN GYM,880373,2025-05-25 15:00:00,APPA,24
OPEN GYM,992670,2025-05-25 15:00:00,APPA,25
OPEN GYM,100893,2025-05-25 15:00:00,APPA,26
OPEN GYM,121691,2025-05-25 15:00:00,APPA,27
OPEN GYM,221678,2025-05-25 15:00:00,APPA,28
OPEN GYM,222794,2025-05-25 15:00:00,APPA,29
OPEN GYM,882693,2025-05-25 15:00:00,APPA,30
OPEN GYM,102972,2025-05-25 15:00:00,APPA,31
OPEN GYM,123075,2025-05-25 15:00:00,APPA,32
OPEN GYM,888881,2025-05-25 15:00:00,APPA,33
OPEN GYM,120584,2025-05-25 15:00:00,APPA,34
HYROX,113177,2025-05-24 10:30:00,HIPPIE,35
HYROX,773064,2025-05-24 10:30:00,HIPPIE,36
GOLDS FIT,100793,2025-05-10 11:00:00,DUDE,37
GOLDS FIT,990195,2025-05-10 11:00:00,DUDE,38
GOLDS FIT,220707,2025-05-10 11:00:00,DUDE,39
GOLDS FIT,222711,2025-05-10 11:00:00,DUDE,40
GOLDS FIT,992497,2025-05-10 11:00:00,DUDE,41
GOLDS FIT,770471,2025-05-10 11:00:00,DUDE,42
GOLDS BURN,331677,2025-05-01 14:00:00,ZACK,43
GOLDS BURN,777796,2025-05-01 14:00:00,ZACK,44
GOLDS BURN,444499,2025-05-01 14:00:00,ZACK,45
GOLDS BURN,100989,2025-05-01 14:00:00,ZACK,46
GOLDS BURN,888890,2025-05-01 14:00:00,ZACK,47
GOLDS BURN,111594,2025-05-01 14:00:00,ZACK,48
GOLDS BURN,111475,2025-05-01 14:00:00,ZACK,49
GOLDS BURN,112590,2025-05-01 14:00:00,ZACK,50
GOLDS BURN,772187,2025-05-01 14:00:00,ZACK,51
GOLDS BURN,770482,2025-05-01 14:00:00,ZACK,52
GOLDS BURN,880373,2025-05-01 14:00:00,ZACK,53
GOLDS BURN,992670,2025-05-01 14:00:00,ZACK,54